Frame, Time, HP, Atk, Def, SpD, SpD, Spe
1, 0:00.01, B, B, 0, B, 26, 30
2, 0:00.03, 30, B, 26, B, 20, A
3, 0:00.05, 17, 19, 20, B, A, A
4, 0:00.06, 16, 13, 12, 18, B, A
5, 0:00.08, 2, A, 3, B, 24, 12
6, 0:00.10, 12, 22, 24, B, 11, B
7, 0:00.11, 5, 30, B, A, 25, A
8, 0:00.13, 27, 30, 25, B, A, 19
9, 0:00.15, 19, 1, 31, 25, B, A
10, 0:00.16, 12, A, B, 2, A, 30
11, 0:00.18, 30, A, 31, 22, A, 5
12, 0:00.20, 5, A, 18, B, 26, 22
13, 0:00.21, 22, A, 26, 9, 6, B
14, 0:00.23, 29, A, 6, A, 30, 28
15, 0:00.25, 28, A, 30, A, 18, B
16, 0:00.26, 7, 29, 18, A, 23, 22
17, 0:00.28, 22, A, 23, A, 4, 24
18, 0:00.30, A, 11, A, 29, 9, B
19, 0:00.31, 6, B, 9, B, 24, 13
20, 0:00.33, 13, B, B, 20, 5, 18
21, 0:00.35, 18, 20, B, B, B, 24
22, 0:00.36, 24, 29, B, B, B, 29
23, 0:00.38, 29, 26, 13, 4, A, 0
24, 0:00.40, 0, A, 12, 3, B, B
25, 0:00.41, 28, 3, B, 7, A, B
26, 0:00.43, 27, 7, B, A, B, 19
27, 0:00.45, 19, B, 12, 23, 31, A
28, 0:00.46, 7, A, A, 29, 23, B
29, 0:00.48, 3, B, 23, B, 15, 9
30, 0:00.50, 9, B, 15, B, 24, B
31, 0:00.51, 30, B, B, 9, A, 9
32, 0:00.53, 9, 9, 7, B, A, B
33, 0:00.55, 13, 20, B, 20, B, 22
34, 0:00.56, 22, 20, 24, A, B, 8
35, 0:00.58, 8, 19, 4, 28, A, B
36, 0:00.60, A, 28, 8, 2, 7, A
37, 0:00.61, 9, B, 7, A, 27, 3
38, 0:00.63, 3, 16, 27, 13, A, B
39, 0:00.65, A, 13, 12, B, 10, B
40, 0:00.66, 9, A, 10, 30, B, B
41, 0:00.68, 5, A, B, 31, B, 10
42, 0:00.70, A, 31, 16, 22, B, B
43, 0:00.71, 25, A, 0, 6, B, 6
44, 0:00.73, 6, 6, A, 2, B, 28
45, 0:00.75, 28, B, 5, A, 19, A
46, 0:00.76, 27, B, A, A, 22, 31
47, 0:00.78, 31, A, 22, 1, B, 8
48, 0:00.80, 8, A, 9, A, 30, B
49, 0:00.81, 19, B, 30, 31, 15, 1
50, 0:00.83, 1, 31, A, 28, 30, B
51, 0:00.85, 14, B, B, B, 0, 31
52, 0:00.86, 31, B, 0, B, A, 4
53, 0:00.88, 4, 6, 16, A, A, 8
54, 0:00.90, 8, 2, A, 30, A, 17
55, 0:00.91, 17, B, 15, 5, 14, 22
56, 0:00.93, 22, A, 14, 1, 4, B
57, 0:00.95, 27, 1, B, A, 30, 3
58, 0:00.96, 3, 25, A, A, 31, B
59, 0:00.98, 3, B, A, 17, 15, 20
60, 0:01.00, 20, A, 15, B, 22, B
